No Transaksi	Jenis Transaksi	Tanggal	Nama Pelanggan	Kode Produk	Nama Produk	Jumlah	Harga
1	Stok Masuk	01-04-2020	-	Item-01	Batere AA	44	-
1	Stok Masuk	01-04-2020	-	Item-02	Bawang Putih 200 gram	26	-
1	Stok Masuk	01-04-2020	-	Item-03	Gula Pasir Putih 1 kg	50	-
1	Stok Masuk	01-04-2020	-	Item-04	Kopi Instant	27	-
1	Stok Masuk	01-04-2020	-	Item-05	Mi Goreng Instant	100	-
1	Stok Masuk	01-04-2020	-	Item-06	Sabun Mandi Cair 100 ml	56	-
1	Stok Masuk	01-04-2020	-	Item-07	Sabut Cuci Piring	6	-
1	Stok Masuk	01-04-2020	-	Item-08	Vitamin C	25	-
1	Stok Masuk	01-04-2020	-	Item-09	Roti Tawar	15	-
1	Stok Masuk	01-04-2020	-	Item-10	Biskuit Waver Kaleng	67	-
1	Stok Masuk	01-04-2020	-	Item-11	Sabun Cuci Piring	33	-
1	Stok Masuk	01-04-2020	-	Item-12	Beras Pulen 5 kg	30	-
1	Stok Masuk	01-04-2020	-	Item-13	Pisau Cukur	9	-
1	Stok Masuk	01-04-2020	-	Item-14	Teh Celup Melati	38	-
1	Stok Masuk	01-04-2020	-	Item-15	Ketan Hitam 500 gram	23	-
1	Stok Masuk	01-04-2020	-	Item-16	Balsem Putih 20 gram	10	-
1	Stok Masuk	01-04-2020	-	Item-17	Obat Batuk	39	-
1	Stok Masuk	01-04-2020	-	Item-18	Telur Ayam Negeri	79	-
1	Stok Masuk	01-04-2020	-	Item-19	Obat Diare	34	-
1	Stok Masuk	01-04-2020	-	Item-20	Gunting Kuku	13	-
2	Stok Masuk	03-04-2020	-	Item-02	Bawang Putih 200 gram	51	-
2	Stok Masuk	03-04-2020	-	Item-09	Roti Tawar	15	-
3	Stok Masuk	04-04-2020	-	Item-03	Gula Pasir Putih 1 kg	44	-
3	Stok Masuk	04-04-2020	-	Item-18	Telur Ayam Negeri	72	-
4	Stok Masuk	05-04-2020	-	Item-08	Vitamin C	51	-
4	Stok Masuk	05-04-2020	-	Item-09	Roti Tawar	14	-
5	Stok Masuk	06-04-2020	-	Item-02	Bawang Putih 200 gram	33	-
5	Stok Masuk	06-04-2020	-	Item-05	Mi Goreng Instant	89	-
5	Stok Masuk	06-04-2020	-	Item-14	Teh Celup Melati	52	-
6	Stok Masuk	07-04-2020	-	Item-03	Gula Pasir Putih 1 kg	38	-
6	Stok Masuk	07-04-2020	-	Item-04	Kopi Instant	65	-
6	Stok Masuk	07-04-2020	-	Item-09	Roti Tawar	12	-
6	Stok Masuk	07-04-2020	-	Item-15	Ketan Hitam 500 gram	29	-
6	Stok Masuk	07-04-2020	-	Item-18	Telur Ayam Negeri	85	-
7	Stok Masuk	08-04-2020	-	Item-02	Bawang Putih 200 gram	49	-
7	Stok Masuk	08-04-2020	-	Item-05	Mi Goreng Instant	81	-
7	Stok Masuk	08-04-2020	-	Item-06	Sabun Mandi Cair 100 ml	69	-
7	Stok Masuk	08-04-2020	-	Item-10	Biskuit Waver Kaleng	68	-
7	Stok Masuk	08-04-2020	-	Item-12	Beras Pulen 5 kg	26	-
7	Stok Masuk	08-04-2020	-	Item-19	Obat Diare	57	-
8	Stok Masuk	09-04-2020	-	Item-09	Roti Tawar	13	-
8	Stok Masuk	09-04-2020	-	Item-18	Telur Ayam Negeri	93	-
